'device_type','device_id','aircraft_model','registration','cn','tracked','identified','device_idtype'
'O','000000','HPH 304CZ-17','OK-7777','KN','Y','Y','INTERNAL'
'F','000002','LS-6 18','OY-XRG','G2','Y','Y','INTERNAL'
'F','000010','Unknown','D-EEAC','AC','Y','Y','INTERNAL'
'F','000011','Skylane Airlony','D-MTEW','EW','Y','Y','INTERNAL'
'F','000013','PA-28','D-EZIP','IP','Y','Y','INTERNAL'
'O','000015','Paraglider','36445','','Y','Y','INTERNAL'
'F','0000FD','Taurus','F-JRDN','DN','Y','Y','INTERNAL'
'F','000114','Maule M-7-235','N126CM','','N','N','INTERNAL'
'O','000146','Paraglider','000146','','Y','Y','INTERNAL'
'O','000287','Paraglider','32712','','Y','Y','INTERNAL'
'F','000296','Unknown','D-IEST','','Y','Y','INTERNAL'
'F','000333','ASG-29','N229CW','S2H','Y','Y','INTERNAL'
'F','000338','Unknown','R-13','','Y','Y','INTERNAL'
'O','000343','Paraglider','Thomas','','Y','Y','INTERNAL'
'F','000368','PIK-20 B','C-GORE','GP','Y','Y','INTERNAL'
'O','000410','HangGlider','R-16','','Y','Y','INTERNAL'
'F','000414','Paraglider','R-17','','Y','Y','INTERNAL'
'F','000451','ASG-29','N232FG','FG','Y','Y','INTERNAL'
'F','000457','ASW-20','OK-9496','96','Y','Y','INTERNAL'
'F','000481','Pegase','n626ca','E2','Y','Y','INTERNAL'
'F','000503','SZD-48-1 Jantar Std 2','SP-3152','DG','Y','Y','INTERNAL'
'F','000597','LS-6','D-8997','IV','Y','Y','INTERNAL'
'F','000617','ASW-20','OE-5292','A2','Y','Y','INTERNAL'
'F','000654','Apis 2','GCJDL','DL','Y','Y','INTERNAL'
'F','000671','Stemme S-10','DKSAB','AB','Y','Y','INTERNAL'
'O','000840','Paraglider','44499','','Y','N','INTERNAL'
'F','000844','ASW-20','D-KYVG','','Y','Y','INTERNAL'
'O','000871','Paraglider','D-NDII','','Y','Y','INTERNAL'
'O','000888','Paraglider','52143','','Y','Y','INTERNAL'
'F','000935','ASH-25 MI','HB-2393','RM','Y','Y','INTERNAL'
'F','000967','Paraglider','38693','','Y','Y','INTERNAL'
'F','001030','ASW-19','D-6985','KHM','Y','Y','INTERNAL'
'F','001032','LS-1 d','F-CDVV','L21','Y','Y','INTERNAL'
'F','001232','Ventus','D-6065','G6','Y','Y','INTERNAL'
'F','001247','SZD-48-1 Jantar Std 2','SP-3212','B3','Y','Y','INTERNAL'
'F','001281','Other','VH-GQO','','Y','Y','INTERNAL'
'F','001352','Motorplane','HBEHS','','Y','Y','INTERNAL'
'F','001474','Discus 2','N164AF','7AF','Y','Y','INTERNAL'
'F','001502','Paraglider','7004','','Y','N','INTERNAL'
'O','001549','Paraglider','36445','','Y','Y','INTERNAL'
'F','001571','Mooney','DENWU','','Y','Y','INTERNAL'
'O','001661','Paraglider','R-42','','Y','Y','INTERNAL'
'F','0016D3','Paraglider','RoberDT','','Y','Y','INTERNAL'
'F','001863','DG-303','D-3580','PG','Y','Y','INTERNAL'
'F','001954','Gyrocopter','I-B826','','Y','Y','INTERNAL'
'F','002012','Paraglider','CH48475','HrL','Y','Y','INTERNAL'
'F','002047','Flight Design CTSW','G-RILA','','Y','Y','INTERNAL'
'F','002187','Ventus 2CXa','D-KJWM','WM','Y','Y','INTERNAL'
'F','002250','DG-600','D-KHPE','','Y','Y','INTERNAL'
'F','002419','ASW-24','N416EG','GG','Y','Y','INTERNAL'
'O','002427','Paraglider','10776','','Y','Y','INTERNAL'
'F','002444','LS-1 d','D-0685','12','Y','Y','INTERNAL'
'F','002531','Paraglider','R-53','','Y','Y','INTERNAL'
'O','002545','Stemme S-10','D-KBRE','','Y','Y','INTERNAL'
'F','002705','Motorglider','G-CKIU','KIU','Y','Y','INTERNAL'
'F','002765','PW-6','R-56','','N','N','INTERNAL'
'F','002787','PW-5','R-57','','N','N','INTERNAL'
'F','002814','SF-34','R-58','','N','N','INTERNAL'
'F','002999','Paraglider','38032','','Y','Y','INTERNAL'
'F','003052','LS-4','OE-5621','','Y','Y','INTERNAL'
'F','003057','DG-300','OE-5354','','Y','Y','INTERNAL'
'F','003191','Ventus ct','G-CJKY','243','Y','Y','INTERNAL'
'F','003383','ASH-31 MI','D-KCHD','HD','Y','Y','INTERNAL'
'F','003665','Paraglider','110CE9','BIR','Y','Y','INTERNAL'
'F','003733','Nimbus 3','VH-ZBV','BV','Y','Y','INTERNAL'
'F','003751','DG-808 C','D-KKCB','CB','Y','Y','INTERNAL'
'F','003812','HangGlider','R-67','','Y','Y','INTERNAL'
'F','003854','Duo Discus xlt','G-CKRO','KRO','Y','Y','INTERNAL'
'F','003974','PIK-20 D','C-GFOP','OP','Y','Y','INTERNAL'
'F','003B7D','ASW-20','D-3081','DH','Y','Y','INTERNAL'
'F','003EB8','DG-800','D-KNKJ','DG','Y','Y','INTERNAL'
'F','004014','Paraglider','R-72','','Y','Y','INTERNAL'
'F','004061','Paraglider','SZLIGHT','SZ','Y','Y','INTERNAL'
'F','004163','Mosquito','F-CEQV','M1','Y','Y','INTERNAL'
'F','004172','Paraglider','D-MXDB','','Y','Y','INTERNAL'
'F','004176','Paraglider','R-76','','Y','Y','INTERNAL'
'F','004202','Arcus M','D-KBZE','2B','Y','Y','INTERNAL'
'F','0042F9','Discus 2','D-5480','BW2','Y','Y','INTERNAL'
'F','004335','EuroFox','G-ONIK','','N','N','INTERNAL'
'F','004604','Ventus 2','D-6965','','Y','Y','INTERNAL'
'F','004641','SZD-55','R-81','','N','N','ICAO'
'F','004664','UFO','OY-XUG','G3','Y','Y','INTERNAL'
'F','004701','Twin Astir III','R-83','','N','N','INTERNAL'
'F','004702','ASW-15','R-84','','N','N','INTERNAL'
'F','004811','ASG-29','ZS-OKW','133','Y','Y','INTERNAL'
'F','004848','Ultralight','4848','','Y','Y','ICAO'
'F','004925','ASW-19','C-GBYR','DX','Y','Y','INTERNAL'
'F','004D37','ASG-29','D-7429','9','Y','Y','INTERNAL'
'O','004F0F','L-Spatz 55','LY-GJH','AK','Y','Y','INTERNAL'
'F','005071','LS-4','G-DEOA','PL','Y','Y','INTERNAL'
'F','005196','JS-1 C21','N213DT','DT','Y','Y','INTERNAL'
'F','005255','Duo Discus xlt','D-KKSV','SV','Y','Y','INTERNAL'
'F','005517','FK9 Mark 2','D-MRFK','','Y','Y','INTERNAL'
'F','005533','FK14','D-MKAO','','Y','Y','INTERNAL'
'F','005610','MDM-1 Fox','OE-5610','FOX','Y','Y','ICAO'
'O','00582E','Towplane','LKVP-T1','TP1','Y','Y','INTERNAL'
'F','005906','Ultralight','D-MJHF','','Y','Y','INTERNAL'
'F','006203','SZD-48-3 Jantar Std 3','R-98','','N','N','INTERNAL'
'F','006569','Discus 2','D-6322','HUN','Y','Y','INTERNAL'
'O','006704','DR-400','A-Test','JO9','N','N','INTERNAL'
'F','0083C2','JS-3 18M','ZT-GML','ML','Y','Y','INTERNAL'
'F','00901A','JS-1 C21','ZS-GBX','BJ','Y','Y','ICAO'
'F','009181','Nimbus 4DT','D-KTMT','ZY','Y','Y','ICAO'
'F','0091F1','Ventus 2ct','D-KAZP','PJ','Y','Y','ICAO'
'F','0091FA','DG-500','ZS-GUJ','','Y','Y','ICAO'
'O','009445','VSO-10','OK-1516','16','Y','Y','INTERNAL'
'F','0095DF','DG-808 B','ZT-GAE','YH','Y','Y','ICAO'
'F','009844','Drone/UAV','Matter','MNT','Y','Y','ICAO'
'F','009845','Drone/UAV','Matter','MNT','Y','Y','ICAO'
'F','00A98C','Discus','D-KAMR','MR','Y','Y','INTERNAL'
'O','00BE02','Ventus','OK5512','ZV','Y','Y','INTERNAL'
'F','00C94D','Apis 2','F-JDYM','FM','Y','Y','INTERNAL'
'O','00DE0A','Nimbus 4','LY-GOI','LB','Y','Y','INTERNAL'
